title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Townhouse for sale,520 N Preston St,Philadelphia,PA,19104,"$210,000",3,1.0,1160.0,1663.0,1925,TOWNHOUSE,54800.0,https://www.zillow.com/homedetails/520-N-Preston-St-Philadelphia-PA-19104/10199901_zpid/
For sale by owner,3921 Aspen St,Philadelphia,PA,19104,"$200,000",4,3.0,1542.0,2626.0,2009,SINGLE_FAMILY,163800.0,https://www.zillow.com/homedetails/3921-Aspen-St-Philadelphia-PA-19104/103775755_zpid/
Townhouse for sale,4026 Ludlow St,Philadelphia,PA,19104,"$595,000",6,2.0,1870.0,1350.0,1915,TOWNHOUSE,358700.0,https://www.zillow.com/homedetails/4026-Ludlow-St-Philadelphia-PA-19104/10308615_zpid/
Townhouse for sale,844 N 41st St,Philadelphia,PA,19104,"$80,000",5,2.0,2443.0,1428.0,1925,TOWNHOUSE,41300.0,https://www.zillow.com/homedetails/844-N-41st-St-Philadelphia-PA-19104/10201495_zpid/
Townhouse for sale,242 S 45th St,Philadelphia,PA,19104,"$699,000",6,2.0,3960.0,1951.0,1915,TOWNHOUSE,362300.0,https://www.zillow.com/homedetails/242-S-45th-St-Philadelphia-PA-19104/165320576_zpid/
Townhouse for sale,3222 Haverford Ave,Philadelphia,PA,19104,"$364,900",5,2.0,1555.0,871.0,1914,TOWNHOUSE,221900.0,https://www.zillow.com/homedetails/3222-Haverford-Ave-Philadelphia-PA-19104/10292430_zpid/
New construction,318 N Preston St # 1,Philadelphia,PA,19104,"$489,000",4,3.0,1394.0,-1.0,2020,TOWNHOUSE,,https://www.zillow.com/homedetails/318-N-Preston-St-1-Philadelphia-PA-19104/2080482297_zpid/
Townhouse for sale,4123 Poplar St,Philadelphia,PA,19104,"$57,000",4,1.0,1640.0,1174.0,1930,TOWNHOUSE,34800.0,https://www.zillow.com/homedetails/4123-Poplar-St-Philadelphia-PA-19104/10201194_zpid/
New construction,318 N Preston St # 2,Philadelphia,PA,19104,"$329,000",2,2.0,800.0,-1.0,2020,TOWNHOUSE,,https://www.zillow.com/homedetails/318-N-Preston-St-2-Philadelphia-PA-19104/2080481002_zpid/
Townhouse for sale,4186 Viola St,Philadelphia,PA,19104,"$80,000",3,1.0,1200.0,1062.0,1925,TOWNHOUSE,48800.0,https://www.zillow.com/homedetails/4186-Viola-St-Philadelphia-PA-19104/10201352_zpid/
Townhouse for sale,3805 Fairmount Ave,Philadelphia,PA,19104,"$75,000",3,1.0,1184.0,1346.0,1925,TOWNHOUSE,66200.0,https://www.zillow.com/homedetails/3805-Fairmount-Ave-Philadelphia-PA-19104/10293318_zpid/
Townhouse for sale,4143 Cambridge St,Philadelphia,PA,19104,"$350,000",2,3.0,2168.0,1285.0,1915,TOWNHOUSE,145200.0,https://www.zillow.com/homedetails/4143-Cambridge-St-Philadelphia-PA-19104/118360960_zpid/
Townhouse for sale,3954 Wallace St,Philadelphia,PA,19104,"$122,906",3,1.0,1020.0,1006.0,1930,TOWNHOUSE,164200.0,https://www.zillow.com/homedetails/3954-Wallace-St-Philadelphia-PA-19104/10293126_zpid/
New construction,528 N Preston St,Philadelphia,PA,19104,"$1,590,000",0,,6132.0,1415.0,2020,MULTI_FAMILY,,https://www.zillow.com/homedetails/528-N-Preston-St-Philadelphia-PA-19104/2080466258_zpid/
