title,address,city,state,postal_code,price,bedroom,bathroom,area,year_built,lot_size,home_type
Apartment for rent,5942 Old York Rd FLOOR 3,Philadelphia,PA,19141,$900/mo,2,1.0,750.0,-1,-1.0,APARTMENT
Apartment for rent,1609 W Nedro Ave # 1F,Philadelphia,PA,19141,$900/mo,3,1.5,900.0,-1,-1.0,MULTI_FAMILY
Apartment for rent,5743 Ogontz Ave,Philadelphia,PA,19141,$900/mo,2,1.0,850.0,-1,-1.0,MULTI_FAMILY
House for rent,4937 N 9th St,Philadelphia,PA,19141,"$1,195/mo",3,1.0,1496.0,1935,1496.0,SINGLE_FAMILY
Apartment for rent,5815 N Park Ave UNIT 1,Philadelphia,PA,19141,$750/mo,1,1.0,,-1,-1.0,APARTMENT
Apartment for rent,1729 W Champlost St # 1A,Philadelphia,PA,19141,$850/mo,1,1.0,,-1,-1.0,APARTMENT
Apartment for rent,6306 N 13th St,Philadelphia,PA,19141,$950/mo,2,1.0,650.0,1945,4522.0,MULTI_FAMILY
Apartment for rent,4814 N Broad St # 3-R,Philadelphia,PA,19141,$750/mo,1,1.0,450.0,-1,-1.0,APARTMENT
Apartment for rent,5602 N 10th St APT 1,Philadelphia,PA,19141,"$1,099/mo",2,1.0,800.0,-1,-1.0,MULTI_FAMILY
Apartment for rent,1729 W Champlost St,Philadelphia,PA,19141,$850/mo,1,1.0,1360.0,1905,1563.0,APARTMENT
House for rent,4839 N 13th St,Philadelphia,PA,19141,"$1,200/mo",3,1.0,1518.0,1925,1306.0,SINGLE_FAMILY
Apartment for rent,4721 N 15th St UNIT 2,Philadelphia,PA,19141,$850/mo,1,1.0,1611.0,-1,-1.0,MULTI_FAMILY
Apartment for rent,936 Lindley Ave # 2,Philadelphia,PA,19141,$850/mo,2,1.0,800.0,-1,-1.0,APARTMENT
House for rent,1803 Medary Ave,Philadelphia,PA,19141,"$1,400/mo",3,1.0,1104.0,1915,1230.0,SINGLE_FAMILY
Apartment for rent,4900 N Camac St # 1,Philadelphia,PA,19141,"$1,350/mo",3,1.5,,-1,-1.0,APARTMENT
House for rent,5129 N 15th St,Philadelphia,PA,19141,"$1,800/mo",6,2.5,2047.0,1953,2178.0,SINGLE_FAMILY
Apartment for rent,5101-25 Camac St # 3239577,Philadelphia,PA,19141,$750/mo,1,1.0,,-1,-1.0,APARTMENT
Condo for rent,1909 W Chew St,Philadelphia,PA,19141,"$1,395/mo",3,1.0,2320.0,1945,6912.0,CONDO
Townhouse for rent,1713 Widener Pl,Philadelphia,PA,19141,"$1,450/mo",4,1.0,1640.0,1965,1402.0,TOWNHOUSE
Apartment for rent,N 12th St,Philadelphia,PA,19141,"$1,100/mo",2,1.0,,-1,-1.0,APARTMENT
House for rent,5317 N Carlisle St,Philadelphia,PA,19141,"$1,600/mo",3,1.5,1404.0,1930,1306.0,SINGLE_FAMILY
Apartment for rent,1003 W Godfrey Ave,Philadelphia,PA,19141,"$1,150/mo",2,1.5,1840.0,1925,1742.0,MULTI_FAMILY
Apartment for rent,5409 N 12th St,Philadelphia,PA,19141,"$1,250/mo",5,1.0,1700.0,1940,2138.0,MULTI_FAMILY
House for rent,5630 N Uber St,Philadelphia,PA,19141,"$2,100/mo",4,2.0,1336.0,1946,1380.0,SINGLE_FAMILY
House for rent,5031 N Marvine St,Philadelphia,PA,19141,"$1,300/mo",4,1.0,1700.0,1935,2099.0,SINGLE_FAMILY
Apartment for rent,5028 N 12th St # 3,Philadelphia,PA,19141,$800/mo,1,1.0,918.0,-1,-1.0,MULTI_FAMILY
Townhouse for rent,1523 Belfield Ave # 2,Philadelphia,PA,19141,"$1,025/mo",2,1.0,,-1,-1.0,TOWNHOUSE
Apartment for rent,6100 N 17th St # &-6649,Philadelphia,PA,19141,$720/mo,1,1.0,,-1,-1.0,APARTMENT
House for rent,5641 N Uber St,Philadelphia,PA,19141,"$1,300/mo",3,1.0,1254.0,1925,1241.0,SINGLE_FAMILY
Townhouse for rent,6141 Old York Rd # 1,Philadelphia,PA,19141,$900/mo,2,1.0,,-1,-1.0,TOWNHOUSE
Townhouse for rent,6141 Old York Rd # 2,Philadelphia,PA,19141,$900/mo,2,1.0,,-1,-1.0,TOWNHOUSE
Townhouse for rent,N Smedley St,Philadelphia,PA,19141,"$1,300/mo",3,1.5,1400.0,-1,-1.0,TOWNHOUSE
Apartment for rent,5748 N Park Ave APT 1W,Philadelphia,PA,19141,$795/mo,1,1.0,,-1,-1.0,MULTI_FAMILY
Townhouse for rent,5726 N 19th St,Philadelphia,PA,19141,"$1,600/mo",3,2.5,1368.0,1940,1655.0,TOWNHOUSE
Condo for rent,1212 W Rockland St APT 3,Philadelphia,PA,19141,$875/mo,2,1.0,2040.0,1940,-1.0,CONDO
