title,address,city,state,postal_code,price,bedroom,bathroom,area,year_built,lot_size,home_type
Apartment for rent,4609 Springfield Ave # 1F,Philadelphia,PA,19143,$950/mo,1,1.0,500.0,-1,-1.0,APARTMENT
Townhouse for rent,5917 Addison St,Philadelphia,PA,19143,"$1,700/mo",3,2.0,977.0,1925,906.0,TOWNHOUSE
Apartment for rent,1114 S 47th St # 3,Philadelphia,PA,19143,"$1,000/mo",1,1.0,850.0,-1,-1.0,APARTMENT
Apartment for rent,4910 Cedar Ave FLOOR 2,Philadelphia,PA,19143,"$1,100/mo",2,1.0,,-1,-1.0,MULTI_FAMILY
Apartment for rent,1211 S Wilton St FLOOR 1,Philadelphia,PA,19143,$995/mo,2,1.0,800.0,1925,-1.0,APARTMENT
Townhouse for rent,5619 Montrose St,Philadelphia,PA,19143,"$1,400/mo",3,1.5,1032.0,1925,879.0,TOWNHOUSE
Townhouse for rent,5623 Walton Ave,Philadelphia,PA,19143,"$1,400/mo",4,2.0,1040.0,1925,901.0,TOWNHOUSE
Apartment for rent,4600 Chester Ave # F,Philadelphia,PA,19143,"$1,000/mo",1,1.0,,-1,-1.0,APARTMENT
House for rent,1528 S Lindenwood St,Philadelphia,PA,19143,"$1,000/mo",3,1.0,1068.0,1925,795.0,SINGLE_FAMILY
Apartment for rent,4609 Cedar Ave APT A2,Philadelphia,PA,19143,$895/mo,0,1.0,350.0,-1,-1.0,MULTI_FAMILY
Townhouse for rent,5630 Angora Ter,Philadelphia,PA,19143,"$1,150/mo",3,1.0,992.0,1925,1306.0,TOWNHOUSE
Townhouse for rent,5729 Belmar Ter,Philadelphia,PA,19143,"$1,000/mo",3,1.0,798.0,1925,836.0,TOWNHOUSE
Townhouse for rent,902 S Conestoga St,Philadelphia,PA,19143,"$1,000/mo",2,1.0,880.0,1925,1080.0,TOWNHOUSE
House for rent,638 S Conestoga St,Philadelphia,PA,19143,"$1,200/mo",3,1.0,1224.0,1925,1155.0,SINGLE_FAMILY
House for rent,5865 Walton Ave,Philadelphia,PA,19143,$995/mo,3,1.0,1330.0,1925,1094.0,SINGLE_FAMILY
House for rent,S 55th St,Philadelphia,PA,19143,"$1,995/mo",3,1.0,1339.0,-1,-1.0,SINGLE_FAMILY
Townhouse for rent,5751 Belmar Ter,Philadelphia,PA,19143,"$1,000/mo",3,1.0,900.0,1925,879.0,TOWNHOUSE
House for rent,4751 Upland St,Philadelphia,PA,19143,"$1,300/mo",3,1.5,1260.0,1940,930.0,SINGLE_FAMILY
House for rent,56XX Ridgewood St,Philadelphia,PA,19143,$999/mo,3,1.0,990.0,-1,-1.0,SINGLE_FAMILY
Townhouse for rent,5642 Ridgewood St,Philadelphia,PA,19143,$999/mo,3,1.0,1024.0,1925,871.0,TOWNHOUSE
Townhouse for rent,5934 Chester Ave,Philadelphia,PA,19143,"$1,050/mo",3,1.0,1302.0,1942,1280.0,TOWNHOUSE
Apartment for rent,1017 Farragut Ter # 2,Philadelphia,PA,19143,"$1,425/mo",2,1.0,950.0,-1,-1.0,MULTI_FAMILY
Apartment for rent,438 S 57th St FLOOR 2,Philadelphia,PA,19143,$900/mo,2,1.0,700.0,-1,-1.0,APARTMENT
House for rent,4600 Baltimore Ave,Philadelphia,PA,19143,"$1,125/mo",1,1.0,,-1,-1.0,SINGLE_FAMILY
House for rent,6127 Pine St,Philadelphia,PA,19143,"$1,050/mo",3,1.0,1122.0,1937,1306.0,SINGLE_FAMILY
House for rent,1339 S 46th St,Philadelphia,PA,19143,"$1,300/mo",3,1.0,722.0,1940,1146.0,SINGLE_FAMILY
House for rent,5629 Carpenter St,Philadelphia,PA,19143,"$1,300/mo",3,1.5,1200.0,1960,871.0,SINGLE_FAMILY
Apartment for rent,902 S 46th St # 46001F,Philadelphia,PA,19143,"$1,095/mo",1,1.0,875.0,-1,-1.0,APARTMENT
House for rent,5256 Osage Ave,Philadelphia,PA,19143,"$1,000/mo",4,1.0,1221.0,1925,990.0,SINGLE_FAMILY
Apartment for rent,5227 Webster St # 2,Philadelphia,PA,19143,"$1,200/mo",2,1.0,,1913,-1.0,APARTMENT
House for rent,1024 S 56th St,Philadelphia,PA,19143,"$1,400/mo",3,1.0,960.0,1968,960.0,SINGLE_FAMILY
Apartment for rent,5436 Pine St,Philadelphia,PA,19143,"$1,100/mo",2,1.0,1698.0,1925,1274.0,MULTI_FAMILY
Apartment for rent,5227 Catharine St,Philadelphia,PA,19143,"$1,295+/mo",2,1.0,,1925,-1.0,APARTMENT
