title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Townhouse for sale,204 W Laurel St UNIT 1,Philadelphia,PA,19123,"$1,400,000",4,4.0,4000.0,1010.0,2015,TOWNHOUSE,,https://www.zillow.com/homedetails/204-W-Laurel-St-UNIT-1-Philadelphia-PA-19123/2080493368_zpid/
Townhouse for sale,1111 N Lee St,Philadelphia,PA,19123,"$314,000",2,2.0,1008.0,387.0,1920,TOWNHOUSE,318500.0,https://www.zillow.com/homedetails/1111-N-Lee-St-Philadelphia-PA-19123/10198509_zpid/
Condo for sale,723 Melon Ter APT F,Philadelphia,PA,19123,"$189,000",2,1.0,825.0,-1.0,1980,CONDO,94800.0,https://www.zillow.com/homedetails/723-Melon-Ter-APT-F-Philadelphia-PA-19123/71249830_zpid/
New construction,107 Olive St,Philadelphia,PA,19123,"$729,900",3,4.0,2800.0,892.0,2019,TOWNHOUSE,117900.0,https://www.zillow.com/homedetails/107-Olive-St-Philadelphia-PA-19123/165607666_zpid/
New construction,402 N Front St # 1,Philadelphia,PA,19123,"$470,000",3,5.0,2045.0,-1.0,2019,CONDO,,https://www.zillow.com/homedetails/402-N-Front-St-1-Philadelphia-PA-19123/2085515241_zpid/
Townhouse for sale,506 Poplar St,Philadelphia,PA,19123,"$309,900",3,2.0,1547.0,1546.0,1971,TOWNHOUSE,374200.0,https://www.zillow.com/homedetails/506-Poplar-St-Philadelphia-PA-19123/10198264_zpid/
Townhouse for sale,1131 N Hancock St,Philadelphia,PA,19123,"$390,000",3,3.0,1150.0,766.0,1920,TOWNHOUSE,347400.0,https://www.zillow.com/homedetails/1131-N-Hancock-St-Philadelphia-PA-19123/10198575_zpid/
Condo for sale,201 Green St APT 3C,Philadelphia,PA,19123,"$275,000",1,1.0,730.0,435.0,1900,CONDO,244000.0,https://www.zillow.com/homedetails/201-Green-St-APT-3C-Philadelphia-PA-19123/87766833_zpid/
Condo for sale,511 N Broad St APT 502,Philadelphia,PA,19123,"$184,900",1,1.0,737.0,734.0,1900,CONDO,,https://www.zillow.com/homedetails/511-N-Broad-St-APT-502-Philadelphia-PA-19123/2081003367_zpid/
Condo for sale,1027 N 4th St UNIT T,Philadelphia,PA,19123,"$350,000",2,2.0,967.0,-1.0,1900,CONDO,,https://www.zillow.com/homedetails/1027-N-4th-St-UNIT-T-Philadelphia-PA-19123/2080568908_zpid/
Townhouse for sale,1012 N Bodine St # J,Philadelphia,PA,19123,"$600,000",3,3.0,2400.0,871.0,2010,TOWNHOUSE,647700.0,https://www.zillow.com/homedetails/1012-N-Bodine-St-J-Philadelphia-PA-19123/103777828_zpid/
Condo for sale,314 Brown St APT 204,Philadelphia,PA,19123,"$365,000",1,2.0,1018.0,-1.0,1960,CONDO,,https://www.zillow.com/homedetails/314-Brown-St-APT-204-Philadelphia-PA-19123/2093649905_zpid/
