title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
For sale by owner,6618 Yocum St,Philadelphia,PA,19142,"$60,000",3,1.0,1038.0,871.0,1937,CONDO,60700.0,https://www.zillow.com/homedetails/6618-Yocum-St-Philadelphia-PA-19142/10405942_zpid/
Townhouse for sale,2660 S Shields St,Philadelphia,PA,19142,"$169,900",3,1.0,1548.0,1655.0,1925,TOWNHOUSE,45000.0,https://www.zillow.com/homedetails/2660-S-Shields-St-Philadelphia-PA-19142/10410760_zpid/
Foreclosure,6069 Chester Ave,Philadelphia,PA,19142,"$35,000",3,1.0,1368.0,1476.0,1920,TOWNHOUSE,61000.0,https://www.zillow.com/homedetails/6069-Chester-Ave-Philadelphia-PA-19142/10401364_zpid/
Townhouse for sale,2119 S 66th St,Philadelphia,PA,19142,"$149,995",3,1.0,1280.0,871.0,1920,TOWNHOUSE,69800.0,https://www.zillow.com/homedetails/2119-S-66th-St-Philadelphia-PA-19142/10405087_zpid/
House for sale,6925 Grosbeak Pl,Philadelphia,PA,19142,"$185,000",3,3.0,1321.0,7405.0,1965,SINGLE_FAMILY,89800.0,https://www.zillow.com/homedetails/6925-Grosbeak-Pl-Philadelphia-PA-19142/10413790_zpid/
Townhouse for sale,2024 S Avondale St,Philadelphia,PA,19142,"$80,000",3,2.0,1120.0,701.0,1920,TOWNHOUSE,66600.0,https://www.zillow.com/homedetails/2024-S-Avondale-St-Philadelphia-PA-19142/10401107_zpid/
For sale by owner,2117 S 65th St,Philadelphia,PA,19142,"$29,000",3,1.0,1400.0,1600.0,1920,TOWNHOUSE,65800.0,https://www.zillow.com/homedetails/2117-S-65th-St-Philadelphia-PA-19142/10401274_zpid/
Townhouse for sale,7038 Saybrook Ave,Philadelphia,PA,19142,"$45,000",3,1.0,1268.0,1306.0,1920,TOWNHOUSE,67600.0,https://www.zillow.com/homedetails/7038-Saybrook-Ave-Philadelphia-PA-19142/10407007_zpid/
Townhouse for sale,6416 Dicks Ave,Philadelphia,PA,19142,"$84,900",3,2.0,1204.0,1119.0,1925,TOWNHOUSE,72200.0,https://www.zillow.com/homedetails/6416-Dicks-Ave-Philadelphia-PA-19142/10412707_zpid/
Townhouse for sale,6044 Regent St,Philadelphia,PA,19142,"$35,000",3,1.0,992.0,1054.0,1925,TOWNHOUSE,55700.0,https://www.zillow.com/homedetails/6044-Regent-St-Philadelphia-PA-19142/10401498_zpid/
