title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Apartment for sale,6732 N Sydenham St,Philadelphia,PA,19126,"$179,900",4,2.0,1650.0,1489.0,1920,MULTI_FAMILY,142300.0,https://www.zillow.com/homedetails/6732-N-Sydenham-St-Philadelphia-PA-19126/10215815_zpid/
House for sale,1006 W Chelten Ave,Philadelphia,PA,19126,"$264,900",3,2.0,1936.0,6416.0,1940,SINGLE_FAMILY,212500.0,https://www.zillow.com/homedetails/1006-W-Chelten-Ave-Philadelphia-PA-19126/80948815_zpid/
For sale by owner,511 Cheltenham Ave,Cheltenham,PA,19126,"$99,000",5,2.0,1.0,4.0,-1,SINGLE_FAMILY,,https://www.zillow.com/homedetails/511-Cheltenham-Ave-Cheltenham-PA-19126/2080549046_zpid/
Townhouse for sale,7263 Pittville Ave,Philadelphia,PA,19126,"$259,000",3,3.0,1216.0,1359.0,1925,TOWNHOUSE,123800.0,https://www.zillow.com/homedetails/7263-Pittville-Ave-Philadelphia-PA-19126/10216093_zpid/
House for sale,6607 N 18th St,Philadelphia,PA,19126,"$179,999",3,2.0,1338.0,1428.0,1925,SINGLE_FAMILY,153000.0,https://www.zillow.com/homedetails/6607-N-18th-St-Philadelphia-PA-19126/10216306_zpid/
Foreclosure,6558 N Bouvier St,Philadelphia,PA,19126,"$120,000",3,1.0,1250.0,1298.0,1925,TOWNHOUSE,121600.0,https://www.zillow.com/homedetails/6558-N-Bouvier-St-Philadelphia-PA-19126/10253815_zpid/
Townhouse for sale,1802 Penfield St,Philadelphia,PA,19126,"$105,000",3,2.0,1170.0,871.0,1925,TOWNHOUSE,118200.0,https://www.zillow.com/homedetails/1802-Penfield-St-Philadelphia-PA-19126/10218819_zpid/
Townhouse for sale,6514 N 18th St,Philadelphia,PA,19126,"$249,900",5,3.0,2500.0,1420.0,1965,TOWNHOUSE,127000.0,https://www.zillow.com/homedetails/6514-N-18th-St-Philadelphia-PA-19126/10254174_zpid/
House for sale,6503 N 2nd St,Philadelphia,PA,19126,"$275,000",3,3.0,1368.0,2613.0,1965,SINGLE_FAMILY,184100.0,https://www.zillow.com/homedetails/6503-N-2nd-St-Philadelphia-PA-19126/10545085_zpid/
Townhouse for sale,6631 N Gratz St,Philadelphia,PA,19126,"$239,900",5,2.0,2202.0,1472.0,1955,TOWNHOUSE,132200.0,https://www.zillow.com/homedetails/6631-N-Gratz-St-Philadelphia-PA-19126/10216455_zpid/
Townhouse for sale,1514 Orland St,Philadelphia,PA,19126,"$109,900",3,2.0,1082.0,958.0,1925,TOWNHOUSE,109300.0,https://www.zillow.com/homedetails/1514-Orland-St-Philadelphia-PA-19126/10217551_zpid/
Foreclosure,1304 68th Ave,Philadelphia,PA,19126,"$245,000",3,2.0,1260.0,2827.0,1950,SINGLE_FAMILY,192700.0,https://www.zillow.com/homedetails/1304-68th-Ave-Philadelphia-PA-19126/10548224_zpid/
Foreclosure,7158 N 19th St,Philadelphia,PA,19126,"$112,000",3,1.0,1440.0,1616.0,1925,SINGLE_FAMILY,142300.0,https://www.zillow.com/homedetails/7158-N-19th-St-Philadelphia-PA-19126/10216662_zpid/
