title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Foreclosure,421-23 E Rittenhouse St,Philadelphia,PA,19144,"$79,900",4,2.0,1355.0,3113.0,1950,SINGLE_FAMILY,97900.0,https://www.zillow.com/homedetails/421-23-E-Rittenhouse-St-Philadelphia-PA-19144/10535889_zpid/
Townhouse for sale,739 E Locust Ave,Philadelphia,PA,19144,"$127,000",3,2.0,1150.0,845.0,1925,TOWNHOUSE,19800.0,https://www.zillow.com/homedetails/739-E-Locust-Ave-Philadelphia-PA-19144/10230036_zpid/
House for sale,252 E High St,Philadelphia,PA,19144,"$275,000",4,3.0,1998.0,4970.0,1905,SINGLE_FAMILY,120800.0,https://www.zillow.com/homedetails/252-E-High-St-Philadelphia-PA-19144/10536897_zpid/
House for sale,102 W Apsley St,Philadelphia,PA,19144,"$265,000",5,3.0,2068.0,2178.0,1920,SINGLE_FAMILY,172600.0,https://www.zillow.com/homedetails/102-W-Apsley-St-Philadelphia-PA-19144/10231749_zpid/
House for sale,6042 Wissahickon Ave,Philadelphia,PA,19144,"$435,000",3,3.0,2050.0,3598.0,1900,SINGLE_FAMILY,110000.0,https://www.zillow.com/homedetails/6042-Wissahickon-Ave-Philadelphia-PA-19144/10275555_zpid/
Condo for sale,6136 Wayne Ave APT 6,Philadelphia,PA,19144,"$37,500",2,2.0,1200.0,-1.0,1929,CONDO,,https://www.zillow.com/homedetails/6136-Wayne-Ave-APT-6-Philadelphia-PA-19144/2082245234_zpid/
Apartment for sale,336 W Duval St,Philadelphia,PA,19144,"$415,000",5,4.0,2636.0,4042.0,1915,MULTI_FAMILY,316300.0,https://www.zillow.com/homedetails/336-W-Duval-St-Philadelphia-PA-19144/10539466_zpid/
House for sale,5361 Pulaski Ave,Philadelphia,PA,19144,"$239,000",4,3.0,1930.0,2404.0,1900,SINGLE_FAMILY,138900.0,https://www.zillow.com/homedetails/5361-Pulaski-Ave-Philadelphia-PA-19144/10233954_zpid/
Townhouse for sale,128 W Pomona St,Philadelphia,PA,19144,"$189,000",3,1.0,1173.0,1171.0,1900,TOWNHOUSE,115500.0,https://www.zillow.com/homedetails/128-W-Pomona-St-Philadelphia-PA-19144/10539355_zpid/
Apartment for sale,113 W Seymour St,Philadelphia,PA,19144,"$167,000",6,2.0,2295.0,2299.0,1900,MULTI_FAMILY,131200.0,https://www.zillow.com/homedetails/113-W-Seymour-St-Philadelphia-PA-19144/10232136_zpid/
