title,address,city,state,postal_code,price,bedroom,bathroom,area,year_built,lot_size,home_type
Apartment for rent,201-50 S 15th St # 606,Philadelphia,PA,19102,"$1,365/mo",0,1.0,,-1,-1.0,APARTMENT
Apartment for rent,1429 Spruce St APT 2M,Philadelphia,PA,19102,"$1,150/mo",0,1.0,,-1,-1.0,MULTI_FAMILY
Apartment for rent,260 S 16th St APT 2F,Philadelphia,PA,19102,"$2,500/mo",1,1.0,900.0,1860,-1.0,APARTMENT
Apartment for rent,1532 Spruce St # 321,Philadelphia,PA,19102,"$2,600/mo",2,1.0,800.0,-1,-1.0,APARTMENT
Apartment for rent,1533 Chestnut St # 2,Philadelphia,PA,19102,"$2,100/mo",2,2.0,850.0,-1,-1.0,MULTI_FAMILY
Apartment for rent,311 S Hicks St APT 1C,Philadelphia,PA,19102,"$1,150/mo",1,1.0,400.0,-1,-1.0,APARTMENT
Townhouse for rent,332 S Hicks St,Philadelphia,PA,19102,"$3,800/mo",3,2.0,1925.0,1850,858.0,TOWNHOUSE
Apartment for rent,S 16th St,Philadelphia,PA,19102,$985/mo,0,1.0,,-1,-1.0,APARTMENT
Apartment for rent,S 16th St,Philadelphia,PA,19102,$950/mo,0,1.0,,-1,-1.0,APARTMENT
Apartment for rent,1521 Spruce St APT 201,Philadelphia,PA,19102,"$1,649/mo",1,1.0,,-1,-1.0,APARTMENT
Apartment for rent,249 S 16th St,Philadelphia,PA,19102,"$1,084/mo",0,1.0,350.0,-1,-1.0,APARTMENT
Condo for rent,1427 Walnut St # 3R,Philadelphia,PA,19102,"$1,575/mo",1,1.5,900.0,-1,-1.0,CONDO
Apartment for rent,108 S 16th St # 603,Philadelphia,PA,19102,"$1,695/mo",1,1.0,566.0,-1,-1.0,APARTMENT
Apartment for rent,1425 Locust St UNIT 15F,Philadelphia,PA,19102,"$2,300/mo",1,1.0,969.0,1900,-1.0,APARTMENT
Townhouse for rent,328 S 15th St,Philadelphia,PA,19102,"$1,450/mo",1,1.0,850.0,1900,-1.0,TOWNHOUSE
House for rent,Locust St,Philadelphia,PA,19102,"$2,950/mo",1,1.0,800.0,-1,-1.0,SINGLE_FAMILY
Apartment for rent,309 S 16th St APT 1R,Philadelphia,PA,19102,"$1,010/mo",0,1.0,,-1,-1.0,APARTMENT
Condo for rent,111 S 15th St APT 1509,Philadelphia,PA,19102,"$2,095/mo",1,1.0,951.0,1900,-1.0,CONDO
Apartment for rent,331 S 16th St APT 2F,Philadelphia,PA,19102,"$1,275/mo",1,1.0,500.0,-1,-1.0,APARTMENT
Apartment for rent,1510 Chestnut St APT 302,Philadelphia,PA,19102,"$1,500/mo",1,1.0,655.0,-1,-1.0,APARTMENT
Townhouse for rent,332 S 16th St # 1,Philadelphia,PA,19102,"$1,800/mo",1,1.0,2935.0,-1,-1.0,TOWNHOUSE
