title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
New construction,1911 Walnut St # 4801,Philadelphia,PA,19103,"$25,000,000",4,6.0,8666.0,-1.0,-1,CONDO,,https://www.zillow.com/homedetails/1911-Walnut-St-4801-Philadelphia-PA-19103/2082756498_zpid/
Townhouse for sale,2014 Delancey Pl,Philadelphia,PA,19103,"$8,000,000",5,7.0,9725.0,-1.0,1852,TOWNHOUSE,,https://www.zillow.com/homedetails/2014-Delancey-Pl-Philadelphia-PA-19103/2080588580_zpid/
Condo for sale,1900 John F Kennedy Blvd APT 2001,Philadelphia,PA,19103,"$150,000",2,1.0,1150.0,-1.0,1965,CONDO,,https://www.zillow.com/homedetails/1900-John-F-Kennedy-Blvd-APT-2001-Philadelphia-PA-19103/2081498872_zpid/
Townhouse for sale,2212 Race St,Philadelphia,PA,19103,"$920,000",3,3.0,2650.0,1080.0,1999,TOWNHOUSE,435100.0,https://www.zillow.com/homedetails/2212-Race-St-Philadelphia-PA-19103/10211426_zpid/
House for sale,1910 Rittenhouse Sq,Philadelphia,PA,19103,"$5,495,000",5,6.0,5374.0,1899.0,1750,SINGLE_FAMILY,2111100.0,https://www.zillow.com/homedetails/1910-Rittenhouse-Sq-Philadelphia-PA-19103/10211089_zpid/
Townhouse for sale,1812 Delancey St,Philadelphia,PA,19103,"$4,125,000",5,7.0,5000.0,1498.0,1800,TOWNHOUSE,2638700.0,https://www.zillow.com/homedetails/1812-Delancey-St-Philadelphia-PA-19103/165106120_zpid/
Townhouse for sale,1712 Rittenhouse Square St,Philadelphia,PA,19103,"$1,875,000",3,3.0,2946.0,3049.0,1957,TOWNHOUSE,,https://www.zillow.com/homedetails/1712-Rittenhouse-Square-St-Philadelphia-PA-19103/2080472616_zpid/
House for sale,1932 Pine St,Philadelphia,PA,19103,"$845,000",4,2.0,1772.0,871.0,1870,SINGLE_FAMILY,639600.0,https://www.zillow.com/homedetails/1932-Pine-St-Philadelphia-PA-19103/10210238_zpid/
Townhouse for sale,2412 Delancey St,Philadelphia,PA,19103,"$569,000",3,1.0,1400.0,871.0,1912,TOWNHOUSE,496200.0,https://www.zillow.com/homedetails/2412-Delancey-St-Philadelphia-PA-19103/10210041_zpid/
Townhouse for sale,1914-16 Panama St,Philadelphia,PA,19103,"$1,275,000",5,5.0,3085.0,1141.0,1875,TOWNHOUSE,877200.0,https://www.zillow.com/homedetails/1914-16-Panama-St-Philadelphia-PA-19103/10210096_zpid/
Townhouse for sale,2213 Delancey Pl,Philadelphia,PA,19103,"$1,899,000",5,4.0,4737.0,1363.0,1918,TOWNHOUSE,2082600.0,https://www.zillow.com/homedetails/2213-Delancey-Pl-Philadelphia-PA-19103/10209946_zpid/
Townhouse for sale,2019 Delancey St,Philadelphia,PA,19103,"$4,600,000",5,9.0,7505.0,2178.0,1860,TOWNHOUSE,3056200.0,https://www.zillow.com/homedetails/2019-Delancey-St-Philadelphia-PA-19103/10209916_zpid/
Condo for sale,130 S 18th St UNIT 3102,Philadelphia,PA,19103,"$9,200,000",4,4.0,5384.0,-1.0,2009,CONDO,7150600.0,https://www.zillow.com/homedetails/130-S-18th-St-UNIT-3102-Philadelphia-PA-19103/90196813_zpid/
For sale by owner,1919 Chestnut St APT 721,Philadelphia,PA,19103,"$325,000",1,1.0,837.0,-1.0,1965,SINGLE_FAMILY,,https://www.zillow.com/homedetails/1919-Chestnut-St-APT-721-Philadelphia-PA-19103/2126208720_zpid/
Townhouse for sale,2028 Locust St,Philadelphia,PA,19103,"$1,750,000",5,5.0,3560.0,1306.0,1850,TOWNHOUSE,1339500.0,https://www.zillow.com/homedetails/2028-Locust-St-Philadelphia-PA-19103/67362669_zpid/
Townhouse for sale,2429 Locust St APT 510,Philadelphia,PA,19103,"$375,000",1,1.0,743.0,-1.0,1900,TOWNHOUSE,,https://www.zillow.com/homedetails/2429-Locust-St-APT-510-Philadelphia-PA-19103/2080895748_zpid/
Townhouse for sale,2036 Cherry St,Philadelphia,PA,19103,"$1,250,000",6,4.0,2600.0,1306.0,1859,TOWNHOUSE,580000.0,https://www.zillow.com/homedetails/2036-Cherry-St-Philadelphia-PA-19103/10211378_zpid/
Townhouse for sale,2039 Pine St,Philadelphia,PA,19103,"$3,450,000",4,4.0,3945.0,1742.0,1862,TOWNHOUSE,1330200.0,https://www.zillow.com/homedetails/2039-Pine-St-Philadelphia-PA-19103/10210175_zpid/
