title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Foreclosure,6711 Lansdowne Ave,Philadelphia,PA,19151,"$115,000",5,2.0,2312.0,3201.0,1935,MULTI_FAMILY,144600.0,https://www.zillow.com/homedetails/6711-Lansdowne-Ave-Philadelphia-PA-19151/10348972_zpid/
Townhouse for sale,607 Marlyn Rd,Philadelphia,PA,19151,"$112,000",3,2.0,1110.0,1742.0,1925,TOWNHOUSE,105500.0,https://www.zillow.com/homedetails/607-Marlyn-Rd-Philadelphia-PA-19151/10350735_zpid/
Apartment for sale,628 N 64th St,Philadelphia,PA,19151,"$140,000",4,2.0,1924.0,2500.0,1925,MULTI_FAMILY,148800.0,https://www.zillow.com/homedetails/628-N-64th-St-Philadelphia-PA-19151/10350632_zpid/
Townhouse for sale,7637 Wyndale Ave,Philadelphia,PA,19151,"$140,000",3,2.0,1800.0,1995.0,1949,TOWNHOUSE,131000.0,https://www.zillow.com/homedetails/7637-Wyndale-Ave-Philadelphia-PA-19151/10347069_zpid/
House for sale,6333 Woodbine Ave,Philadelphia,PA,19151,"$449,000",6,4.0,3941.0,8999.0,1925,SINGLE_FAMILY,579700.0,https://www.zillow.com/homedetails/6333-Woodbine-Ave-Philadelphia-PA-19151/10349828_zpid/
Foreclosure,6046 W Oxford St,Philadelphia,PA,19151,"$115,000",6,3.0,2591.0,1467.0,1925,TOWNHOUSE,146700.0,https://www.zillow.com/homedetails/6046-W-Oxford-St-Philadelphia-PA-19151/10343555_zpid/
Townhouse for sale,1701 N Robinson St,Philadelphia,PA,19151,"$145,000",3,2.0,1453.0,1589.0,1925,TOWNHOUSE,126200.0,https://www.zillow.com/homedetails/1701-N-Robinson-St-Philadelphia-PA-19151/10344970_zpid/
Townhouse for sale,6554 Lansdowne Ave,Philadelphia,PA,19151,"$169,900",3,2.0,1187.0,1485.0,1925,TOWNHOUSE,113200.0,https://www.zillow.com/homedetails/6554-Lansdowne-Ave-Philadelphia-PA-19151/10348919_zpid/
Townhouse for sale,1743 N 59th St,Philadelphia,PA,19151,"$75,000",3,1.0,1272.0,1476.0,1925,TOWNHOUSE,73700.0,https://www.zillow.com/homedetails/1743-N-59th-St-Philadelphia-PA-19151/10195763_zpid/
Townhouse for sale,7322 Woodcrest Ave,Philadelphia,PA,19151,"$189,999",3,1.0,1120.0,1476.0,1949,TOWNHOUSE,129900.0,https://www.zillow.com/homedetails/7322-Woodcrest-Ave-Philadelphia-PA-19151/10349665_zpid/
Townhouse for sale,6124 W Oxford St,Philadelphia,PA,19151,"$150,000",0,,2256.0,2330.0,1925,TOWNHOUSE,170900.0,https://www.zillow.com/homedetails/6124-W-Oxford-St-Philadelphia-PA-19151/90197551_zpid/
Townhouse for sale,541 N Simpson St,Philadelphia,PA,19151,"$89,900",3,1.0,1280.0,1742.0,1925,TOWNHOUSE,97200.0,https://www.zillow.com/homedetails/541-N-Simpson-St-Philadelphia-PA-19151/10346315_zpid/
Apartment for sale,5916 W Girard Ave,Philadelphia,PA,19151,"$109,500",4,2.0,1380.0,1681.0,1925,MULTI_FAMILY,53900.0,https://www.zillow.com/homedetails/5916-W-Girard-Ave-Philadelphia-PA-19151/10193468_zpid/
Townhouse for sale,6028 Haverford Ave,Philadelphia,PA,19151,"$174,900",3,2.0,1152.0,1241.0,1925,TOWNHOUSE,81600.0,https://www.zillow.com/homedetails/6028-Haverford-Ave-Philadelphia-PA-19151/10341415_zpid/
Townhouse for sale,7301 Ruskin Rd,Philadelphia,PA,19151,"$229,000",5,3.0,1774.0,2016.0,1950,TOWNHOUSE,,https://www.zillow.com/homedetails/7301-Ruskin-Rd-Philadelphia-PA-19151/2091503280_zpid/
Townhouse for sale,6326 Haverford Ave,Philadelphia,PA,19151,"$229,900",3,3.0,1302.0,1119.0,1925,TOWNHOUSE,95000.0,https://www.zillow.com/homedetails/6326-Haverford-Ave-Philadelphia-PA-19151/10345897_zpid/
Townhouse for sale,921 Flanders Rd,Philadelphia,PA,19151,"$104,900",3,1.0,1040.0,1441.0,1925,TOWNHOUSE,95500.0,https://www.zillow.com/homedetails/921-Flanders-Rd-Philadelphia-PA-19151/10352088_zpid/
Foreclosure,7620 Sherwood Rd,Philadelphia,PA,19151,"$147,000",3,1.0,1120.0,1385.0,1949,TOWNHOUSE,129900.0,https://www.zillow.com/homedetails/7620-Sherwood-Rd-Philadelphia-PA-19151/10347596_zpid/
Townhouse for sale,7542 Brockton Rd,Philadelphia,PA,19151,"$198,960",3,2.0,1120.0,1759.0,1949,TOWNHOUSE,167000.0,https://www.zillow.com/homedetails/7542-Brockton-Rd-Philadelphia-PA-19151/10346729_zpid/
Townhouse for sale,1464 N 60th St,Philadelphia,PA,19151,"$78,000",3,1.0,1162.0,1319.0,1925,TOWNHOUSE,84500.0,https://www.zillow.com/homedetails/1464-N-60th-St-Philadelphia-PA-19151/10344424_zpid/
