title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Townhouse for sale,1824 Mountain St,Philadelphia,PA,19145,"$279,000",2,3.0,1064.0,701.0,1925,TOWNHOUSE,82900.0,https://www.zillow.com/homedetails/1824-Mountain-St-Philadelphia-PA-19145/10365747_zpid/
Townhouse for sale,2353 S Bucknell St,Philadelphia,PA,19145,"$269,900",2,2.0,980.0,688.0,1920,TOWNHOUSE,88300.0,https://www.zillow.com/homedetails/2353-S-Bucknell-St-Philadelphia-PA-19145/10462146_zpid/
Townhouse for sale,1604 S 16th St,Philadelphia,PA,19145,"$299,000",3,2.0,1376.0,993.0,1925,TOWNHOUSE,246300.0,https://www.zillow.com/homedetails/1604-S-16th-St-Philadelphia-PA-19145/10371679_zpid/
Townhouse for sale,2122 Mountain St,Philadelphia,PA,19145,"$225,000",2,1.0,856.0,657.0,1925,TOWNHOUSE,82500.0,https://www.zillow.com/homedetails/2122-Mountain-St-Philadelphia-PA-19145/10365805_zpid/
Townhouse for sale,3162 S Smedley St,Philadelphia,PA,19145,"$375,000",3,2.0,1152.0,1559.0,1960,TOWNHOUSE,276200.0,https://www.zillow.com/homedetails/3162-S-Smedley-St-Philadelphia-PA-19145/10305232_zpid/
Townhouse for sale,2729 Mckean St,Philadelphia,PA,19145,"$244,900",3,2.0,1100.0,1528.0,1950,TOWNHOUSE,148300.0,https://www.zillow.com/homedetails/2729-Mckean-St-Philadelphia-PA-19145/10460043_zpid/
Apartment for sale,2344 Moore St,Philadelphia,PA,19145,"$214,900",3,1.0,1160.0,871.0,1920,MULTI_FAMILY,86200.0,https://www.zillow.com/homedetails/2344-Moore-St-Philadelphia-PA-19145/10459585_zpid/
Townhouse for sale,1607 S 28th St,Philadelphia,PA,19145,"$255,000",3,2.0,1400.0,980.0,1920,TOWNHOUSE,84300.0,https://www.zillow.com/homedetails/1607-S-28th-St-Philadelphia-PA-19145/10369734_zpid/
Townhouse for sale,2530 S Lambert St,Philadelphia,PA,19145,"$475,000",4,3.0,1720.0,2299.0,1920,TOWNHOUSE,337000.0,https://www.zillow.com/homedetails/2530-S-Lambert-St-Philadelphia-PA-19145/10307341_zpid/
House for sale,1840 S Broad St,Philadelphia,PA,19145,"$675,000",6,3.0,4370.0,1306.0,1920,SINGLE_FAMILY,197800.0,https://www.zillow.com/homedetails/1840-S-Broad-St-Philadelphia-PA-19145/10457693_zpid/
Townhouse for sale,2641 S 17th St,Philadelphia,PA,19145,"$449,000",3,3.0,2210.0,840.0,1920,TOWNHOUSE,222200.0,https://www.zillow.com/homedetails/2641-S-17th-St-Philadelphia-PA-19145/10305344_zpid/
Townhouse for sale,1744 S Dorrance St,Philadelphia,PA,19145,"$409,900",4,3.0,1554.0,435.0,2019,TOWNHOUSE,38900.0,https://www.zillow.com/homedetails/1744-S-Dorrance-St-Philadelphia-PA-19145/10366471_zpid/
Townhouse for sale,1517 W Ritner St,Philadelphia,PA,19145,"$325,000",3,3.0,1472.0,871.0,1920,TOWNHOUSE,198100.0,https://www.zillow.com/homedetails/1517-W-Ritner-St-Philadelphia-PA-19145/10302497_zpid/
