title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Townhouse for sale,1310 N Hope St UNIT 19,Philadelphia,PA,19122,"$599,000",3,4.0,2011.0,649.0,2015,TOWNHOUSE,,https://www.zillow.com/homedetails/1310-N-Hope-St-UNIT-19-Philadelphia-PA-19122/2080451152_zpid/
Apartment for sale,1419 N 7th St APT 2,Philadelphia,PA,19122,"$285,000",2,1.0,932.0,1494.0,2017,APARTMENT,,https://www.zillow.com/homedetails/1419-N-7th-St-APT-2-Philadelphia-PA-19122/2081538705_zpid/
Townhouse for sale,1207 N Leithgow St,Philadelphia,PA,19122,"$300,000",4,2.0,1530.0,675.0,1915,TOWNHOUSE,191300.0,https://www.zillow.com/homedetails/1207-N-Leithgow-St-Philadelphia-PA-19122/10259488_zpid/
Townhouse for sale,1426 N Hope St,Philadelphia,PA,19122,"$335,000",3,2.0,1530.0,740.0,1920,TOWNHOUSE,372000.0,https://www.zillow.com/homedetails/1426-N-Hope-St-Philadelphia-PA-19122/10258963_zpid/
New construction,1232 N Front St # 3C,Philadelphia,PA,19122,"$409,900",2,2.0,1304.0,-1.0,2019,CONDO,,https://www.zillow.com/homedetails/1232-N-Front-St-3C-Philadelphia-PA-19122/2080531915_zpid/
Townhouse for sale,1345 N Mascher St,Philadelphia,PA,19122,"$407,500",2,3.0,1584.0,548.0,1920,TOWNHOUSE,353600.0,https://www.zillow.com/homedetails/1345-N-Mascher-St-Philadelphia-PA-19122/10597018_zpid/
New construction,502 W Montgomery Ave # 1,Philadelphia,PA,19122,"$240,000",2,2.0,1294.0,6242.0,2020,APARTMENT,,https://www.zillow.com/homedetails/502-W-Montgomery-Ave-1-Philadelphia-PA-19122/2081388992_zpid/
New construction,1335 N 7th St # A,Philadelphia,PA,19122,"$389,900",3,4.0,2000.0,-1.0,2019,CONDO,,https://www.zillow.com/homedetails/1335-N-7th-St-A-Philadelphia-PA-19122/2083150011_zpid/
Townhouse for sale,443 W Thompson St,Philadelphia,PA,19122,"$499,000",3,3.0,2290.0,749.0,2016,TOWNHOUSE,390000.0,https://www.zillow.com/homedetails/443-W-Thompson-St-Philadelphia-PA-19122/246160574_zpid/
New construction,1232 N Front St # 3A,Philadelphia,PA,19122,"$399,900",2,2.0,1179.0,-1.0,2019,CONDO,,https://www.zillow.com/homedetails/1232-N-Front-St-3A-Philadelphia-PA-19122/2080532001_zpid/
