title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
New construction,2434 W Thompson St # 1,Philadelphia,PA,19121,"$300,000",3,3.0,1528.0,-1.0,1915,CONDO,,https://www.zillow.com/homedetails/2434-W-Thompson-St-1-Philadelphia-PA-19121/2080720393_zpid/
Townhouse for sale,1411 N Dover St,Philadelphia,PA,19121,"$285,900",2,2.0,840.0,701.0,1920,TOWNHOUSE,71000.0,https://www.zillow.com/homedetails/1411-N-Dover-St-Philadelphia-PA-19121/10317130_zpid/
Townhouse for sale,1527 N Bailey St,Philadelphia,PA,19121,"$979,900",3,3.0,10044.0,4926.0,1925,TOWNHOUSE,,https://www.zillow.com/homedetails/1527-N-Bailey-St-Philadelphia-PA-19121/2083250034_zpid/
For sale by owner,1924 N 22nd St,Philadelphia,PA,19121,"$39,000",5,2.0,2568.0,1564.0,1915,TOWNHOUSE,33200.0,https://www.zillow.com/homedetails/1924-N-22nd-St-Philadelphia-PA-19121/10329114_zpid/
Townhouse for sale,2528 W Montgomery Ave,Philadelphia,PA,19121,"$124,990",5,2.0,1680.0,927.0,1915,TOWNHOUSE,21200.0,https://www.zillow.com/homedetails/2528-W-Montgomery-Ave-Philadelphia-PA-19121/10594181_zpid/
Townhouse for sale,1744 N 26th St,Philadelphia,PA,19121,"$184,900",5,1.0,1575.0,945.0,1940,TOWNHOUSE,136100.0,https://www.zillow.com/homedetails/1744-N-26th-St-Philadelphia-PA-19121/10332453_zpid/
New construction,2812 Cecil B Moore Ave # 1,Philadelphia,PA,19121,"$269,000",3,3.0,1350.0,-1.0,2020,CONDO,,https://www.zillow.com/homedetails/2812-Cecil-B-Moore-Ave-1-Philadelphia-PA-19121/2080748747_zpid/
Townhouse for sale,2615 W Montgomery Ave,Philadelphia,PA,19121,"$257,000",4,4.0,2025.0,731.0,1915,TOWNHOUSE,63000.0,https://www.zillow.com/homedetails/2615-W-Montgomery-Ave-Philadelphia-PA-19121/80953309_zpid/
New construction,1526 W Stiles St # A,Philadelphia,PA,19121,"$239,900",2,2.0,1200.0,958.0,2019,TOWNHOUSE,,https://www.zillow.com/homedetails/1526-W-Stiles-St-A-Philadelphia-PA-19121/2083012994_zpid/
For sale by owner,1346 N 29th St,Philadelphia,PA,19121,"$204,000",5,2.0,1536.0,1023.0,1915,TOWNHOUSE,147900.0,https://www.zillow.com/homedetails/1346-N-29th-St-Philadelphia-PA-19121/10317796_zpid/
Lot / Land for sale,2118 W Oxford St,Philadelphia,PA,19121,"$125,000",,,1525.0,840.0,-1,LOT,4000.0,https://www.zillow.com/homedetails/2118-W-Oxford-St-Philadelphia-PA-19121/118348093_zpid/
Townhouse for sale,1806 N Gratz St,Philadelphia,PA,19121,"$175,000",4,3.0,1506.0,810.0,1915,TOWNHOUSE,306700.0,https://www.zillow.com/homedetails/1806-N-Gratz-St-Philadelphia-PA-19121/10328646_zpid/
Townhouse for sale,1317 N Hollywood St,Philadelphia,PA,19121,"$290,000",3,2.0,1014.0,749.0,1925,TOWNHOUSE,54100.0,https://www.zillow.com/homedetails/1317-N-Hollywood-St-Philadelphia-PA-19121/10317870_zpid/
