title,address,city,state,postal_code,price,bedroom,bathroom,area,year_built,lot_size,home_type
Condo for rent,5441 Vicaris St FLOOR 1,Philadelphia,PA,19128,"$1,150/mo",2,1.0,840.0,1965,-1.0,CONDO
Apartment for rent,7220 Ridge Ave # B,Philadelphia,PA,19128,"$1,700/mo",2,2.0,1001.0,1919,-1.0,APARTMENT
House for rent,4794 Silverwood St,Philadelphia,PA,19128,"$1,400/mo",3,2.0,1260.0,1940,3049.0,SINGLE_FAMILY
Apartment for rent,107 Rochelle Ave APT 3R,Philadelphia,PA,19128,$800/mo,1,1.0,700.0,-1,-1.0,APARTMENT
Apartment for rent,3818 Terrace St APT 202,Philadelphia,PA,19128,"$1,850/mo",2,2.0,885.0,2018,-1.0,MULTI_FAMILY
Apartment for rent,3818 Terrace St # 406,Philadelphia,PA,19128,"$1,650/mo",1,1.0,750.0,2018,-1.0,MULTI_FAMILY
House for rent,6700 Pechin St,Philadelphia,PA,19128,"$2,000/mo",4,2.0,1500.0,1950,6359.0,SINGLE_FAMILY
House for rent,4574 Fleming St,Philadelphia,PA,19128,"$1,395/mo",3,1.0,1128.0,1925,1140.0,SINGLE_FAMILY
Condo for rent,530 Hermit St FLOOR 3,Philadelphia,PA,19128,"$1,200/mo",1,1.0,900.0,1940,-1.0,CONDO
Apartment for rent,407 Shawmont Ave APT D,Philadelphia,PA,19128,"$1,340/mo",2,2.0,1208.0,1990,1208.0,MULTI_FAMILY
House for rent,608 Martin St,Philadelphia,PA,19128,"$1,425/mo",2,1.5,1170.0,1935,1450.0,SINGLE_FAMILY
Apartment for rent,419 Shawmont Ave APT A,Philadelphia,PA,19128,"$1,490/mo",2,2.5,1434.0,1990,1434.0,MULTI_FAMILY
House for rent,4115 Manayunk Ave,Philadelphia,PA,19128,"$1,400/mo",3,2.0,1050.0,2017,1318.0,SINGLE_FAMILY
Apartment for rent,166 Kalos St # 2,Philadelphia,PA,19128,"$1,395/mo",2,1.0,1000.0,-1,-1.0,APARTMENT
Apartment for rent,407 Green Ln,Philadelphia,PA,19128,$975/mo,1,1.0,500.0,-1,-1.0,APARTMENT
Apartment for rent,Hermit Ter,Philadelphia,PA,19128,"$1,425/mo",2,1.0,,-1,-1.0,APARTMENT
House for rent,413 Rector St,Philadelphia,PA,19128,"$1,400/mo",3,1.5,1650.0,1920,2246.0,SINGLE_FAMILY
Apartment for rent,4310 Manayunk Ave # 2,Philadelphia,PA,19128,"$1,100/mo",1,1.0,700.0,-1,-1.0,APARTMENT
Apartment for rent,Manayunk Ave,Philadelphia,PA,19128,"$2,600/mo",5,2.5,1900.0,-1,-1.0,MULTI_FAMILY
House for rent,273 Delmar St,Philadelphia,PA,19128,"$3,000/mo",4,2.5,2688.0,1930,5196.0,SINGLE_FAMILY
Townhouse for rent,5422 Hermit Ter # 2,Philadelphia,PA,19128,"$1,400/mo",2,1.0,1680.0,1970,-1.0,TOWNHOUSE
Apartment for rent,146 Sumac St APT 2R,Philadelphia,PA,19128,$975/mo,1,1.0,,1932,-1.0,APARTMENT
House for rent,640 Martin St,Philadelphia,PA,19128,"$1,650/mo",2,1.0,900.0,1938,871.0,SINGLE_FAMILY
Apartment for rent,7623 Ridge Ave APT A,Philadelphia,PA,19128,"$1,300/mo",1,1.0,650.0,1959,-1.0,APARTMENT
Apartment for rent,6936 Ridge Ave # 2,Philadelphia,PA,19128,"$1,200/mo",2,1.0,1000.0,-1,-1.0,APARTMENT
Apartment for rent,276 Parker Ave,Philadelphia,PA,19128,"$1,800/mo",3,2.5,1762.0,2003,3125.0,MULTI_FAMILY
