title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
House for sale,50 S 16th St UNIT 4604,Philadelphia,PA,19102,"$11,500,000",2,4.0,5550.0,-1.0,2007,SINGLE_FAMILY,7800000.0,https://www.zillow.com/homedetails/50-S-16th-St-UNIT-4604-Philadelphia-PA-19102/87765330_zpid/
Condo for sale,111 S 15th St PENTHOUSE P310,Philadelphia,PA,19102,"$549,000",2,2.0,1062.0,-1.0,1900,CONDO,407600.0,https://www.zillow.com/homedetails/111-S-15th-St-PENTHOUSE-P310-Philadelphia-PA-19102/67365532_zpid/
Condo for sale,50 S 16th St UNIT 5105,Philadelphia,PA,19102,"$1,435,000",3,4.0,1722.0,-1.0,2016,CONDO,1170600.0,https://www.zillow.com/homedetails/50-S-16th-St-UNIT-5105-Philadelphia-PA-19102/87762248_zpid/
Condo for sale,1500 Chestnut St APT 13H,Philadelphia,PA,19102,"$360,000",2,2.0,1001.0,43560.0,1900,CONDO,341500.0,https://www.zillow.com/homedetails/1500-Chestnut-St-APT-13H-Philadelphia-PA-19102/71249229_zpid/
Condo for sale,1420 Locust St APT 27H,Philadelphia,PA,19102,"$215,000",1,1.0,624.0,624.0,1977,CONDO,211600.0,https://www.zillow.com/homedetails/1420-Locust-St-APT-27H-Philadelphia-PA-19102/10601917_zpid/
Townhouse for sale,331 S Hicks St,Philadelphia,PA,19102,"$749,000",3,3.0,1530.0,810.0,1850,TOWNHOUSE,711400.0,https://www.zillow.com/homedetails/331-S-Hicks-St-Philadelphia-PA-19102/10210678_zpid/
Condo for sale,111 S 15th St APT 1705,Philadelphia,PA,19102,"$287,000",1,1.0,798.0,-1.0,1900,CONDO,295100.0,https://www.zillow.com/homedetails/111-S-15th-St-APT-1705-Philadelphia-PA-19102/67365414_zpid/
Condo for sale,111 S 15th St PENTHOUSE P309,Philadelphia,PA,19102,"$510,000",2,2.0,1437.0,435.0,1900,CONDO,522000.0,https://www.zillow.com/homedetails/111-S-15th-St-PENTHOUSE-P309-Philadelphia-PA-19102/67365531_zpid/
Condo for sale,111 S 15th St APT 1611,Philadelphia,PA,19102,"$419,000",2,2.0,1184.0,-1.0,1900,CONDO,442400.0,https://www.zillow.com/homedetails/111-S-15th-St-APT-1611-Philadelphia-PA-19102/67365407_zpid/
Condo for sale,111 S 15th St APT 2312,Philadelphia,PA,19102,"$499,900",2,2.0,1202.0,-1.0,1900,CONDO,449300.0,https://www.zillow.com/homedetails/111-S-15th-St-APT-2312-Philadelphia-PA-19102/67365498_zpid/
Condo for sale,1414 S Penn Sq UNIT 34B,Philadelphia,PA,19102,"$2,100,000",3,4.0,2046.0,-1.0,2009,CONDO,1785700.0,https://www.zillow.com/homedetails/1414-S-Penn-Sq-UNIT-34B-Philadelphia-PA-19102/90196801_zpid/
Condo for sale,1508 Pine St APT B,Philadelphia,PA,19102,"$525,000",2,2.0,1160.0,-1.0,1918,CONDO,390100.0,https://www.zillow.com/homedetails/1508-Pine-St-APT-B-Philadelphia-PA-19102/90198663_zpid/
Condo for sale,1420 Locust St APT 13A,Philadelphia,PA,19102,"$475,000",3,2.0,1524.0,1524.0,1977,CONDO,506000.0,https://www.zillow.com/homedetails/1420-Locust-St-APT-13A-Philadelphia-PA-19102/10601658_zpid/
Condo for sale,1420 Locust St APT 6N,Philadelphia,PA,19102,"$375,000",2,2.0,1111.0,1111.0,1977,CONDO,389900.0,https://www.zillow.com/homedetails/1420-Locust-St-APT-6N-Philadelphia-PA-19102/10601545_zpid/
Condo for sale,1425 Locust St UNIT 7E,Philadelphia,PA,19102,"$295,000",1,1.0,777.0,-1.0,1900,CONDO,351500.0,https://www.zillow.com/homedetails/1425-Locust-St-UNIT-7E-Philadelphia-PA-19102/87764390_zpid/
House for sale,1425 Locust St UNIT 26B,Philadelphia,PA,19102,"$579,000",2,2.0,1258.0,-1.0,1900,SINGLE_FAMILY,517200.0,https://www.zillow.com/homedetails/1425-Locust-St-UNIT-26B-Philadelphia-PA-19102/87764009_zpid/
Condo for sale,1500 Chestnut St APT 7E,Philadelphia,PA,19102,"$275,000",1,1.0,759.0,10890.0,1900,CONDO,256700.0,https://www.zillow.com/homedetails/1500-Chestnut-St-APT-7E-Philadelphia-PA-19102/71249173_zpid/
Condo for sale,1425 Locust St UNIT 4B,Philadelphia,PA,19102,"$295,500",1,2.0,932.0,-1.0,1900,CONDO,385300.0,https://www.zillow.com/homedetails/1425-Locust-St-UNIT-4B-Philadelphia-PA-19102/87765035_zpid/
Condo for sale,1420 Locust St APT 10C,Philadelphia,PA,19102,"$290,000",1,1.0,875.0,875.0,1977,CONDO,271200.0,https://www.zillow.com/homedetails/1420-Locust-St-APT-10C-Philadelphia-PA-19102/10601606_zpid/
