title,address,city,state,postal_code,price,bedroom,bathroom,area,lot_size,year_built,home_type,tax_assessed_value,url
Townhouse for sale,3246 N Marshall St,Philadelphia,PA,19140,"$119,990",2,2.0,1210.0,588.0,1925,TOWNHOUSE,40300.0,https://www.zillow.com/homedetails/3246-N-Marshall-St-Philadelphia-PA-19140/10375578_zpid/
Apartment for sale,4125 N 8th St,Philadelphia,PA,19140,"$49,900",0,,1230.0,871.0,1945,MULTI_FAMILY,67800.0,https://www.zillow.com/homedetails/4125-N-8th-St-Philadelphia-PA-19140/10437239_zpid/
Apartment for sale,3432 N 18th St,Philadelphia,PA,19140,"$60,000",4,3.0,2200.0,2313.0,1940,MULTI_FAMILY,,https://www.zillow.com/homedetails/3432-N-18th-St-Philadelphia-PA-19140/2084162593_zpid/
For sale by owner,4687 N 16th St,Philadelphia,PA,19140,"$120,000",4,2.0,1148.0,1335.0,1940,TOWNHOUSE,57900.0,https://www.zillow.com/homedetails/4687-N-16th-St-Philadelphia-PA-19140/10237591_zpid/
Townhouse for sale,2047 Bellevue St,Philadelphia,PA,19140,"$144,998",3,2.0,1400.0,1376.0,1933,TOWNHOUSE,29900.0,https://www.zillow.com/homedetails/2047-Bellevue-St-Philadelphia-PA-19140/10226924_zpid/
Townhouse for sale,4321 N 16th St,Philadelphia,PA,19140,"$99,900",3,1.0,1004.0,1742.0,1930,TOWNHOUSE,27000.0,https://www.zillow.com/homedetails/4321-N-16th-St-Philadelphia-PA-19140/10237532_zpid/
Townhouse for sale,3318 N Fairhill St,Philadelphia,PA,19140,"$40,000",3,1.0,1098.0,945.0,1920,TOWNHOUSE,47600.0,https://www.zillow.com/homedetails/3318-N-Fairhill-St-Philadelphia-PA-19140/10265037_zpid/
For sale by owner,3548 N 11th St,Philadelphia,PA,19140,"$50,000",4,1.0,1696.0,1376.0,1920,TOWNHOUSE,59500.0,https://www.zillow.com/homedetails/3548-N-11th-St-Philadelphia-PA-19140/10432626_zpid/
Foreclosure,2038 W Tioga St,Philadelphia,PA,19140,"$19,900",7,,2808.0,2988.0,1955,LOT,58300.0,https://www.zillow.com/homedetails/2038-W-Tioga-St-Philadelphia-PA-19140/118351589_zpid/
Townhouse for sale,3849 N Delhi St,Philadelphia,PA,19140,"$106,900",3,1.0,1120.0,718.0,1942,TOWNHOUSE,48900.0,https://www.zillow.com/homedetails/3849-N-Delhi-St-Philadelphia-PA-19140/10434123_zpid/
Townhouse for sale,3462 N Bodine St,Philadelphia,PA,19140,"$30,000",2,1.0,756.0,709.0,1920,TOWNHOUSE,38500.0,https://www.zillow.com/homedetails/3462-N-Bodine-St-Philadelphia-PA-19140/10264415_zpid/
For sale by owner,3527 N Warnock St,Philadelphia,PA,19140,"$28,000",3,1.0,896.0,784.0,1935,TOWNHOUSE,11400.0,https://www.zillow.com/homedetails/3527-N-Warnock-St-Philadelphia-PA-19140/10432518_zpid/
Townhouse for sale,3413 N Bouvier St,Philadelphia,PA,19140,"$23,000",3,1.0,924.0,845.0,1939,TOWNHOUSE,21100.0,https://www.zillow.com/homedetails/3413-N-Bouvier-St-Philadelphia-PA-19140/10227770_zpid/
For sale by owner,3455 N Hope St,Philadelphia,PA,19140,"$50,000",3,1.0,1088.0,800.0,-1,SINGLE_FAMILY,10400.0,https://www.zillow.com/homedetails/3455-N-Hope-St-Philadelphia-PA-19140/118339688_zpid/
Townhouse for sale,3517 N 18th St,Philadelphia,PA,19140,"$149,900",8,6.0,2410.0,1576.0,1936,TOWNHOUSE,100600.0,https://www.zillow.com/homedetails/3517-N-18th-St-Philadelphia-PA-19140/10227849_zpid/
Townhouse for sale,4013 N 8th St,Philadelphia,PA,19140,"$75,000",4,2.0,1260.0,1110.0,1920,TOWNHOUSE,66700.0,https://www.zillow.com/homedetails/4013-N-8th-St-Philadelphia-PA-19140/10435347_zpid/
